Day,Death,Confirmed,Recovered,Confirmed_smooth,Recovered_Death,Recovered_Death_smooth
2020.02.28,0.0,32.0,0.0,24.0,0.0,-1.5
2020.02.29,0.0,44.0,0.0,38.0,0.0,0.0
2020.03.01,0.0,66.0,0.0,55.0,0.0,0.0
2020.03.02,0.0,114.0,0.0,90.0,0.0,0.0
2020.03.03,0.0,150.0,0.0,132.0,0.0,0.0
2020.03.04,1.0,197.0,0.0,173.5,1.0,0.5
2020.03.05,3.0,234.0,0.0,215.5,2.0,1.5
2020.03.06,5.0,360.0,0.0,297.0,2.0,2.0
2020.03.07,8.0,422.0,0.0,391.0,3.0,2.5
2020.03.08,17.0,572.0,0.0,497.0,9.0,6.0
2020.03.09,17.0,982.0,0.0,777.0,0.0,4.5
2020.03.10,35.0,1587.0,0.0,1284.5,18.0,9.0
2020.03.11,47.0,2081.0,0.0,1834.0,12.0,15.0
2020.03.12,84.0,2866.0,0.0,2473.5,37.0,24.5
2020.03.13,120.0,4089.0,0.0,3477.5,36.0,36.5
2020.03.14,136.0,5617.0,0.0,4853.0,16.0,26.0
2020.03.15,288.0,7465.0,0.0,6541.0,152.0,84.0
2020.03.16,309.0,8352.0,530.0,7908.5,551.0,351.5
2020.03.17,491.0,9659.0,1028.0,9005.5,680.0,615.5
2020.03.18,598.0,12037.0,1081.0,10848.0,160.0,420.0
2020.03.19,767.0,15273.0,1107.0,13655.0,195.0,177.5
2020.03.20,1002.0,17393.0,1585.0,16333.0,713.0,454.0
2020.03.21,1326.0,21475.0,2125.0,19434.0,864.0,788.5
2020.03.22,1720.0,24277.0,2575.0,22876.0,844.0,854.0
2020.03.23,2182.0,27552.0,3355.0,25914.5,1242.0,1043.0
2020.03.24,2696.0,33183.0,3794.0,30367.5,953.0,1097.5
2020.03.25,3434.0,38809.0,5367.0,35996.0,2311.0,1632.0
2020.03.26,4089.0,45084.0,7015.0,41946.5,2303.0,2307.0
2020.03.27,4858.0,49844.0,9357.0,47464.0,3111.0,2707.0
2020.03.28,5690.0,54273.0,12285.0,52058.5,3760.0,3435.5
2020.03.29,6528.0,57560.0,14709.0,55916.5,3262.0,3511.0
2020.03.30,7340.0,61075.0,16780.0,59317.5,2883.0,3072.5
2020.03.31,8189.0,66969.0,19259.0,64022.0,3328.0,3105.5
2020.04.01,8674.0,82983.0,20023.0,74976.0,1249.0,2288.5
