Confirmed,date,Recovered,Death,Active_cases,Active_cases_smooth,Recovered_Death,Recovered_Death_smooth
57,2020.02.28,0,2,55,55.0,0.0,0.0
100,2020.02.29,0,2,98,76.5,0.0,0.0
130,2020.03.01,0,2,128,93.66666666666667,0.0,0.0
191,2020.03.02,0,3,188,117.25,1.0,0.25
212,2020.03.03,0,4,208,135.4,1.0,0.4
285,2020.03.04,0,4,281,159.66666666666666,0.0,0.3333333333333333
423,2020.03.05,0,7,416,196.28571428571428,3.0,0.7142857142857143
613,2020.03.06,0,9,604,274.7142857142857,2.0,1.0
938,2020.03.07,0,16,922,392.42857142857144,7.0,2.0
1115,2020.03.08,0,19,1096,530.7142857142857,3.0,2.4285714285714284
1401,2020.03.09,0,25,1376,700.4285714285714,6.0,3.142857142857143
1773,2020.03.10,0,33,1740,919.2857142857143,8.0,4.142857142857143
2281,2020.03.11,0,48,2233,1198.142857142857,15.0,6.285714285714286
2281,2020.03.12,0,48,2233,1457.7142857142858,0.0,5.857142857142857
3661,2020.03.13,0,79,3582,1883.142857142857,31.0,10.0
4469,2020.03.14,1,91,4377,2376.714285714286,13.0,10.857142857142858
4499,2020.03.15,1,91,4407,2849.714285714286,0.0,10.428571428571429
6633,2020.03.16,1,148,6484,3579.4285714285716,57.0,17.714285714285715
7652,2020.03.17,2,148,7502,4402.571428571428,1.0,16.714285714285715
9043,2020.03.18,2,148,8893,5354.0,0.0,14.571428571428571
10871,2020.03.19,2,243,10626,6553.0,95.0,28.142857142857142
12612,2020.03.20,2,450,12160,7778.428571428572,207.0,53.285714285714285
14282,2020.03.21,7,562,13713,9112.142857142857,117.0,68.14285714285714
16533,2020.03.22,16,674,15843,10745.857142857143,121.0,85.42857142857143
19856,2020.03.23,16,860,18980,12531.0,186.0,103.85714285714286
22054,2020.03.24,21,1100,20933,14449.714285714286,245.0,138.71428571428572
24967,2020.03.25,21,1331,23615,16552.85714285714,231.0,171.71428571428572
28856,2020.03.26,28,1695,27133,18911.0,371.0,211.14285714285714
32609,2020.03.27,34,1994,30581,21542.571428571428,305.0,225.14285714285714
37162,2020.03.28,34,2311,34817,24557.428571428572,317.0,253.71428571428572
39761,2020.03.29,34,2603,37124,27597.571428571428,292.0,278.14285714285717
44029,2020.03.30,34,3020,40975,30739.714285714286,417.0,311.14285714285717
51579,2020.03.31,37,3517,48025,34610.0,500.0,347.57142857142856
56362,2020.04.01,40,4767,51555,38601.42857142857,1253.0,493.57142857142856
58404,2020.04.02,42,5376,52986,42294.71428571428,611.0,527.8571428571429
63588,2020.04.03,43,6496,57049,46075.857142857145,1121.0,644.4285714285714
46483,2020.04.04,58,7548,38877,46655.857142857145,1067.0,751.5714285714286
47299,2020.04.05,66,8066,39167,46947.71428571428,526.0,785.0
49934,2020.04.06,67,8899,40968,46946.71428571428,834.0,844.5714285714286
46400,2020.04.07,71,10315,36014,45230.857142857145,1420.0,976.0
50242,2020.04.08,94,10856,39292,43479.0,564.0,877.5714285714286
54003,2020.04.09,96,12196,41711,41868.28571428572,1342.0,982.0
55538,2020.04.10,112,13181,42245,39753.42857142857,1001.0,964.8571428571429
56972,2020.04.11,115,13816,43041,40348.28571428572,638.0,903.5714285714286
107712,2020.04.12,118,14377,93217,48069.71428571428,564.0,909.0
110836,2020.04.13,120,14950,95766,55898.0,575.0,872.0
128272,2020.04.14,122,15693,112457,66818.42857142857,745.0,775.5714285714286
131476,2020.04.15,192,17129,114155,77513.14285714286,1506.0,910.1428571428571
144035,2020.04.16,199,17882,125954,89547.85714285714,760.0,827.0
145896,2020.04.17,207,18642,127047,101662.42857142857,768.0,793.7142857142857
149683,2020.04.18,231,19283,130169,114109.28571428571,665.0,797.5714285714286
150752,2020.04.19,250,19668,130834,119483.14285714286,404.0,774.7142857142857
153197,2020.04.20,267,20214,132716,124761.71428571429,563.0,773.0
155821,2020.04.21,287,20736,134798,127953.28571428571,542.0,744.0
157603,2020.04.22,295,21280,136028,131078.0,552.0,607.7142857142857
155881,2020.04.23,390,21796,133695,132183.85714285713,611.0,586.4285714285714
158653,2020.04.24,458,22185,136010,133464.2857142857,457.0,542.0
160295,2020.04.25,458,22554,137283,134480.57142857142,369.0,499.7142857142857
160907,2020.04.26,485,22796,137626,135450.85714285713,269.0,480.42857142857144
164592,2020.04.27,498,23233,140861,136614.42857142858,450.0,464.2857142857143
167650,2020.04.28,516,23600,143534,137862.42857142858,385.0,441.85714285714283
166193,2020.04.29,536,24026,141631,138662.85714285713,446.0,426.7142857142857
167326,2020.04.30,581,24315,142430,139910.7142857143,334.0,387.14285714285717
167846,2020.05.01,609,24532,142705,140867.14285714287,245.0,356.85714285714283
168637,2020.05.02,625,24729,143283,141724.2857142857,213.0,334.57142857142856
168887,2020.05.03,629,24862,143396,142548.57142857142,137.0,315.7142857142857
169405,2020.05.04,630,25168,143607,142940.85714285713,307.0,295.2857142857143
170467,2020.05.05,709,25498,144260,143044.57142857142,409.0,298.7142857142857
174596,2020.05.06,759,25772,148065,143963.7142857143,324.0,281.2857142857143
175218,2020.05.07,801,25950,148467,144826.14285714287,220.0,265.0
175743,2020.05.08,865,26192,148686,145680.57142857142,306.0,273.7142857142857
176132,2020.05.09,904,26271,148957,146491.14285714287,118.0,260.14285714285717
176338,2020.05.10,933,26341,149064,147300.85714285713,99.0,254.71428571428572
176651,2020.05.11,958,26604,149089,148084.0,288.0,252.0
177330,2020.05.12,1007,26951,149372,148814.2857142857,396.0,250.14285714285714
177790,2020.05.13,1102,27034,149654,149041.2857142857,178.0,229.28571428571428
178353,2020.05.14,1169,27383,149801,149231.85714285713,416.0,257.2857142857143
178837,2020.05.15,1287,27485,150065,149428.85714285713,220.0,245.0
179140,2020.05.16,1371,27581,150188,149604.7142857143,180.0,253.85714285714286
179250,2020.05.17,1396,28064,149790,149708.42857142858,508.0,312.2857142857143
179650,2020.05.18,1400,28193,150057,149846.7142857143,133.0,290.14285714285717
180143,2020.05.19,1412,27976,150755,150044.2857142857,-205.0,204.28571428571428
180499,2020.05.20,1454,28085,150960,150230.85714285713,151.0,200.42857142857142
180752,2020.05.21,1509,28167,151076,150413.0,137.0,160.57142857142858
181444,2020.05.22,1587,28315,151542,150624.0,226.0,161.42857142857142
181969,2020.05.23,1655,28401,151913,150870.42857142858,154.0,157.71428571428572
181410,2020.05.24,1690,28319,151401,151100.57142857142,-47.0,78.42857142857143
181684,2020.05.25,1711,28408,151565,151316.0,110.0,75.14285714285714
