Day,Confirmed,Recovered,Death,Active_cases,Active_cases_smooth,Recovered_Death,Recovered_Death_smooth
2020.02.24,229,1,7,221,221.0,0.0,0.0
2020.02.25,322,1,10,311,266.0,3.0,1.5
2020.02.26,400,3,12,385,305.6666666666667,4.0,2.3333333333333335
2020.02.27,650,45,17,588,376.25,47.0,13.5
2020.02.28,888,46,21,821,465.2,5.0,11.8
2020.02.29,1128,50,29,1049,562.5,12.0,11.833333333333334
2020.03.01,1694,83,34,1577,707.4285714285714,38.0,15.571428571428571
2020.03.02,2036,149,52,1835,938.0,84.0,27.571428571428573
2020.03.03,2502,160,79,2263,1216.857142857143,38.0,32.57142857142857
2020.03.04,3089,276,107,2706,1548.4285714285713,144.0,52.57142857142857
2020.03.05,3858,414,148,3296,1935.2857142857142,179.0,71.42857142857143
2020.03.06,4636,523,197,3916,2377.4285714285716,158.0,93.28571428571429
2020.03.07,5883,589,233,5061,2950.5714285714284,102.0,106.14285714285714
2020.03.08,7375,622,366,6387,3637.714285714286,166.0,124.42857142857143
2020.03.09,9172,724,463,7985,4516.285714285715,199.0,140.85714285714286
2020.03.10,10149,1004,631,8514,5409.285714285715,448.0,199.42857142857142
2020.03.11,12462,1045,827,10590,6535.571428571428,237.0,212.71428571428572
2020.03.12,15113,1258,1016,12839,7898.857142857143,402.0,244.57142857142858
2020.03.13,17660,1439,1266,14955,9475.857142857143,431.0,283.57142857142856
2020.03.14,21157,1966,1441,17750,11288.57142857143,702.0,369.2857142857143
2020.03.15,24747,2335,1809,20603,13319.42857142857,737.0,450.85714285714283
2020.03.16,27980,2749,2158,23073,15474.857142857143,763.0,531.4285714285714
2020.03.17,31506,2941,2503,26062,17981.714285714286,537.0,544.1428571428571
2020.03.18,35713,4025,2978,28710,20570.285714285714,1559.0,733.0
2020.03.19,41035,4440,3405,33190,23477.571428571428,842.0,795.8571428571429
2020.03.20,47021,5129,4032,37860,26749.714285714286,1316.0,922.2857142857143
2020.03.21,53578,6072,4825,42681,30311.285714285714,1736.0,1070.0
2020.03.22,59138,7024,5476,46638,34030.57142857143,1603.0,1193.7142857142858
2020.03.23,63927,7432,6077,50418,37937.0,1009.0,1228.857142857143
2020.03.24,69176,8326,6820,54030,41932.42857142857,1637.0,1386.0
2020.03.25,74386,9362,7503,57521,46048.28571428572,1719.0,1408.857142857143
2020.03.26,80539,10361,8165,62013,50165.857142857145,1661.0,1525.857142857143
2020.03.27,86498,10950,9134,66414,54245.0,1558.0,1560.4285714285713
2020.03.28,92472,12384,10023,70065,58157.0,2323.0,1644.2857142857142
2020.03.29,97689,13030,10779,73880,62048.71428571428,1402.0,1615.5714285714287
2020.03.30,101739,14620,11591,75528,65635.85714285714,2402.0,1814.5714285714287
2020.03.31,105792,15729,12428,77635,69008.0,1946.0,1858.7142857142858
2020.04.01,110574,16847,13155,80572,72301.0,1845.0,1876.7142857142858
2020.04.02,115242,18278,13915,83049,75306.14285714286,2191.0,1952.4285714285713
2020.04.03,119827,19758,14681,85388,78016.71428571429,2246.0,2050.714285714286
2020.04.04,124632,20996,15362,88274,80618.0,1919.0,1993.0
2020.04.05,128948,21815,15887,91246,83098.85714285714,1344.0,1984.7142857142858
2020.04.06,132547,22837,16523,93187,85621.57142857143,1658.0,1878.4285714285713
2020.04.07,135586,24392,17127,94067,87969.0,2159.0,1908.857142857143
2020.04.08,139422,26491,17669,95262,90067.57142857143,2641.0,2022.5714285714287
2020.04.09,143626,28470,18279,96877,92043.0,2589.0,2079.4285714285716
2020.04.10,147577,30455,18849,98273,93883.71428571429,2555.0,2123.5714285714284
